,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
159,Soyo,AO,2021-01-27 12:51:27,-6.1349,12.3689,89.6,62,20,8.05
160,Shingu,JP,2021-01-27 12:51:28,33.7333,135.9833,43.84,75,0,8.66
161,Yar-Sale,RU,2021-01-27 12:51:28,66.8333,70.8333,-38.67,79,0,7.94
162,Linguere,SN,2021-01-27 12:51:28,15.3953,-15.1193,95.0,20,0,9.22
163,Gazli,UZ,2021-01-27 12:51:28,40.1333,63.45,41.77,63,0,7.87
164,Cabedelo,BR,2021-01-27 12:51:28,-6.9811,-34.8339,84.2,74,75,9.22
165,Novoagansk,RU,2021-01-27 12:51:29,61.9449,76.6625,-32.01,82,52,7.11
166,Kavieng,PG,2021-01-27 12:51:29,-2.5744,150.7967,83.25,76,100,10.4
167,Saint-Philippe,RE,2021-01-27 12:51:29,-21.3585,55.7679,86.0,58,0,11.5
168,Petropavlovsk-Kamchatskiy,RU,2021-01-27 12:51:29,53.0452,158.6483,15.8,62,0,11.18
169,Esperance,AU,2021-01-27 12:51:29,-33.8667,121.9,64.4,82,90,14.97
170,Tuatapere,NZ,2021-01-27 12:50:13,-46.1333,167.6833,55.0,80,100,18.99
171,Hit,IQ,2021-01-27 12:51:30,33.6416,42.8251,63.7,28,100,10.29
172,Yarada,IN,2021-01-27 12:51:30,17.65,83.2667,78.8,73,20,4.61
173,Songwa,TZ,2021-01-27 12:51:30,-3.5167,33.5167,82.74,45,73,4.59
174,Laureles,US,2021-01-27 12:51:30,26.1092,-97.4941,70.0,94,90,11.5
175,Lithgow,AU,2021-01-27 12:51:30,-33.4833,150.15,57.0,43,100,7.0
176,Gillette,US,2021-01-27 12:51:31,44.2911,-105.5022,10.99,85,1,6.91
177,Beloha,MG,2021-01-27 12:51:31,-25.1667,45.05,90.23,51,27,19.77
178,Kaitangata,NZ,2021-01-27 12:51:31,-46.2817,169.8464,55.0,73,1,1.99
179,Antofagasta,CL,2021-01-27 12:50:02,-23.65,-70.4,75.99,77,20,4.61
180,Telde,ES,2021-01-27 12:48:01,27.9924,-15.4192,77.0,73,0,16.11
181,Salinopolis,BR,2021-01-27 12:51:31,-0.6136,-47.3561,81.9,79,81,8.05
